time,event_id,username,source_ip,result
2026-09-16 10:01:12,4625,john,10.0.0.25,failed
2026-09-16 10:01:18,4625,john,10.0.0.25,failed
2026-09-16 10:01:25,4625,john,10.0.0.25,failed
2026-09-16 10:01:32,4624,john,10.0.0.25,success
2026-09-16 10:15:04,4624,alice,10.0.0.30,success
2026-09-16 10:22:10,4624,alice,10.0.0.30,success
2026-09-16 11:03:14,4625,david,10.0.0.50,failed
2026-09-16 11:03:21,4625,david,10.0.0.50,failed
2026-09-16 11:03:29,4625,david,10.0.0.50,failed
2026-09-16 11:03:35,4624,david,10.0.0.50,success
2026-09-16 11:05:02,4624,david,10.0.0.51,success
2026-09-16 02:14:03,4624,david,10.0.0.50,success
